ID,Gender,Age,write_1,write_2,draw_1,draw_2,exam_draw,exam_write
1001,male,18,0.625,0.5,0.625,0.875,1,1
1002,female,18,0.375,0.125,0,0.125,0.5,0.5
1003,female,18,0.5,0.375,0.875,0.5,0.5,1
1004,female,24,0.125,0,0.25,0.25,0.25,0.5
1005,female,21,0.75,0.375,0.375,0.375,1,0.5
1006,female,19,0.75,0.5,0.75,0.625,0.5,0.25
1007,female,20,0.875,0.625,0.875,0.75,1,0.75
1008,male,20,0.5,0.25,0.5,0.375,1,1
1009,female,18,0.75,0.875,1,0.625,1,0.75
1010,female,19,0.625,0.375,0.5,0.25,0.5,1
1011,female,19,0.5,0.5,0.375,0.25,0.5,1
1012,female,18,0.25,,0.25,,,
1013,female,22,0.75,0.5,0.5,0.75,1,1
1014,female,18,0.5,0.375,0.625,0.25,1,1
1015,female,17,0.375,0.125,0.25,0.375,1,0.5
1016,female,19,0.75,0.5,0.5,0.5,0.5,0
1017,male,18,0.875,0.875,0.625,0.5,1,1
1018,male,19,0.375,0.5,0.5,0.75,0.75,1
1019,female,22,,0.375,,0.625,0.75,0.5
1020,male,20,0.25,0,0.375,0.125,0.5,0.75
1021,male,19,0.25,0,0.125,0,0.75,1
1022,male,20,0,0.25,0.25,0.25,0,1
1023,female,19,0.625,0.625,0.5,0.375,0.5,0.5
1024,female,19,0.125,0.25,0.125,0.25,1,0.75
1025,female,21,0.625,0.625,0.75,0.5,1,1
1026,male,22,0.625,0.5,0.625,0.25,0,0.75
1027,female,20,0.5,0,0.125,0.25,0.75,0.5
1028,female,18,0.375,0,0.5,0,0.5,0.75
1030,male,25,0.5,0.625,0.625,0.5,1,1
1031,male,27,0.625,0.125,0.5,0.125,1,1
1032,male,22,0.125,,0.25,,,
1033,male,19,0.25,0.125,0.25,0.125,0.75,0.5
1034,female,20,0.5,0.25,0.25,0.375,1,1
1035,female,21,0.25,0,0.25,0.125,1,1
1036,female,19,0.125,0,0.375,0.125,1,1
1037,female,18,0.625,0.75,0.75,0.875,1,1
1038,male,19,0.5,0.5,0.625,0.25,1,0.75
1039,female,18,0.375,0.375,0.375,0.125,1,0.5
1040,female,20,0.875,0.125,0.875,0.25,1,0.75
1041,female,19,0.5,0,0.125,0.25,0.75,0.5
1042,male,19,0.25,0.25,0.125,0,1,1
1043,male,18,0,0,0.25,0.125,,
1044,female,21,0.25,0,0.25,0.125,0.25,0.5
1045,female,21,0.375,0.5,0.75,0.375,,
1046,male,18,0.375,0.375,0.125,0.375,1,1
1047,male,19,0.375,,0.125,,,
1048,female,20,0.25,0,0.25,0.375,0.75,0.5
1049,female,24,0.5,0,0.625,0,0,0.75
1050,male,19,0.75,0.5,0.625,0.125,0.5,0.5
1051,female,18,0.5,0,0.375,0.125,0.75,0.5
1052,female,20,0.625,0.375,0.75,0.375,0.5,0.5
1053,female,19,0.5,0.375,0.125,0.5,0.75,1
1054,female,18,0.25,0.5,0.375,0,1,0.75
1055,female,19,0.25,0.375,0.625,0.25,1,1
1056,male,27,0.625,0.5,0.75,0.625,1,1
