subject_ID,Gender,Shipley_Voc_Score,Gent_1_score,Gent_2_score
1,Female,34,60,70
2,Female,17,26,34
3,Female,25,40,48
4,Female,36,NA,NA
5,Female,35,67,67
6,Female,35,71,60
7,Female,33,66,81
8,Female,18,27,17
9,Female,31,64,80
10,Female,26,52,76
11,Female,27,52,36
12,Female,19,43,37
13,Female,31,61,71
14,Female,10,33,13
15,Female,17,14,30
16,Female,37,80,67
17,Female,23,40,63
18,Female,31,62,66
19,Female,31,43,63
20,Female,34,57,73
21,Female,30,54,61
22,Female,32,66,66
23,Female,30,48,56
24,Female,24,34,32
25,Female,32,70,68
26,Female,33,66,66
27,Female,35,63,83
28,Female,27,46,30
29,Female,26,63,47
30,Female,32,59,64
31,Female,28,63,60
32,Female,34,53,71
33,Female,29,68,69
34,Female,36,73,83
35,Female,26,63,80
36,Female,27,59,NA
37,Female,29,51,56
38,Female,29,69,NA
39,Female,36,71,79
40,Female,22,40,44
41,Female,29,70,67
42,Female,37,83,NA
43,Female,24,47,48
44,Female,18,28,30
45,Female,18,43,47
46,Female,37,60,70
47,Female,19,44,32
48,Female,33,81,NA
49,Female,35,86,90
50,Female,30,63,NA
51,Female,35,75,67
52,Female,21,49,NA
53,Female,13,27,NA
54,Female,12,46,47
55,Female,27,60,NA
56,Female,21,70,NA
57,Female,31,61,74
58,Female,30,66,NA
59,Female,34,NA,NA
60,Female,21,40,NA
61,Female,17,NA,NA
62,Female,38,71,NA
63,Female,23,60,56
64,Female,12,60,NA
65,Female,27,53,21
66,Female,24,50,49
67,Female,11,37,40
68,Female,32,66,72
69,Female,29,69,76
70,Female,33,68,67
71,Female,20,42,56
72,Female,34,76,69
73,Female,36,66,60
74,Female,30,66,60
75,Female,29,59,64
76,Female,NA,54,66
77,Female,25,47,56
78,Female,32,67,73
79,Female,35,76,70
80,Female,27,67,51
81,Female,20,30,20
82,Female,16,21,23
83,Female,31,67,69
84,Female,27,86,63
85,Female,17,14,27
86,Female,23,66,61
87,Female,27,59,66
88,Female,22,33,39
89,Female,29,47,63
90,Female,34,71,74
91,Female,25,69,69
92,Female,33,73,73
93,Female,30,66,61
94,Female,32,64,60
95,Female,38,84,80
96,Female,32,84,70
97,Female,31,58,56
98,Female,34,66,77
