subject_ID,english_status,Gender
1,ESL,Female
2,ESL,Male
3,ESL,Female
4,ESL,Female
5,ESL,Male
6,ESL,Female
7,ESL,Female
8,ESL,Female
9,ESL,Female
10,ESL,Female
11,ESL,Female
12,ESL,Male
13,ESL,Female
14,ESL,Male
15,ESL,Female
16,ESL,Female
17,ESL,Female
18,ESL,Female
19,ESL,Female
20,ESL,Female
21,ESL,Female
22,ESL,Female
23,ESL,Female
24,ESL,Female
25,ESL,Female
26,ESL,Female
27,ESL,Female
28,ESL,Female
29,ESL,Female
30,ESL,Female
31,ESL,Female
32,ESL,Female
33,ESL,Female
34,ESL,Female
35,ESL,Female
36,ESL,Female
37,ESL,Male
38,ESL,Female
39,ESL,Female
40,ESL,Female
41,ESL,Female
42,ESL,Female
43,ESL,Female
44,ESL,Female
45,ESL,Female
46,ESL,Female
47,ESL,Male
48,ESL,Female
49,ESL,Female
50,ESL,Female
51,ESL,Female
52,ESL,Female
53,ESL,Female
54,ESL,Female
55,ESL,Female
56,ESL,Male
57,ESL,Male
58,ESL,Female
59,ESL,Female
60,ESL,Male
61,ESL,Female
62,ESL,Female
63,ESL,Male
64,ESL,Female
65,ESL,Female
66,ESL,Female
67,ESL,Female
68,ESL,Female
69,ESL,Male
70,ESL,Male
71,ESL,Male
72,ESL,Female
73,ESL,Male
74,ESL,Male
75,ESL,Female
76,ESL,Male
77,ESL,Male
78,ESL,Female
79,ESL,Female
80,ESL,Female
81,ESL,Male
82,ESL,Male
83,ESL,Female
84,ESL,Male
85,ESL,Female
86,ESL,Male
87,ESL,Female
88,ESL,Female
89,ESL,Male
90,ESL,Male
91,ESL,Female
92,ESL,Female
93,ESL,Female
94,ESL,Female
95,ESL,Male
96,ESL,Female
97,ESL,Female
98,ESL,Female
99,ESL,Male
100,ESL,Female
101,ESL,Female
102,ESL,Other
103,ESL,Male
104,ESL,Female
105,NA,Female
106,NA,Female
107,NA,Female
108,NA,Female
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,Female
113,native,Male
114,native,Female
115,native,Female
116,native,Female
117,native,Female
118,native,Female
119,native,Male
120,native,Female
121,native,Female
122,native,Female
123,native,Female
124,native,Male
125,native,Female
126,native,Female
127,native,Female
128,native,Female
129,native,Female
130,native,Male
131,native,Male
132,native,Female
133,native,Female
134,native,Female
135,native,Female
136,native,Female
137,native,Male
138,native,Female
139,native,Female
140,native,Female
141,native,Female
142,native,Female
143,native,Female
144,native,Female
145,native,Male
146,native,Male
147,native,Female
148,native,Female
149,native,Female
150,native,Female
151,native,Female
152,native,Female
153,native,Female
154,native,Male
155,native,Female
156,native,Male
157,native,Female
158,native,Female
159,native,Female
160,native,Female
161,native,Male
162,native,Female
163,native,Female
164,native,Female
165,native,Female
166,native,Male
167,native,Female
168,native,Female
169,native,Male
170,native,Male
171,native,Male
172,native,Female
173,native,Female
174,native,Female
175,native,Female
176,native,Male
177,native,Female
178,native,Female
179,native,Female
180,native,Male
181,native,Female
182,native,Female
183,native,Female
184,native,Male
185,native,Female
186,native,Female
187,native,Female
188,native,Female
189,native,NA
190,native,Female
191,native,Female
192,native,Other
193,native,Female
194,native,Female
195,native,Male
196,native,Female
197,native,Female
198,native,Female
199,native,Female
200,native,Female
201,native,Male
202,native,Female
203,native,Female
204,native,Female
205,native,Female
206,native,Female
207,native,Female
208,native,Female
209,native,Female
210,native,Female
211,native,Female
212,native,Male
213,native,Female
214,native,Female
215,native,Male
216,native,Male
217,native,Male
218,native,Female
219,native,Male
220,native,Female
221,native,Female
222,native,Female
223,native,Other
224,native,Female
225,native,Female
226,native,Female
227,native,Female
228,native,Female
229,native,Female
230,native,Female
231,native,Female
232,native,Female
233,native,Female
234,native,Male
235,native,Female
236,native,Female
237,native,Female
238,native,Female
239,native,Female
240,native,Female
241,native,Female
242,native,Female
243,native,Female
244,native,Female
245,native,Female
246,native,Male
247,native,Female
248,native,Female
249,native,Female
250,native,Female
251,native,Female
252,native,Female
253,native,Female
254,native,Male
255,native,Female
256,native,Female
257,native,Female
258,native,Male
259,native,Female
260,native,Male
261,native,Female
262,native,Female
263,native,Female
264,native,Female
265,native,Female
266,native,Female
267,native,Female
268,native,Male
269,native,Female
270,native,Female
271,native,Female
272,native,Female
273,native,Female
274,native,Female
275,native,Female
276,native,Male
277,native,Female
278,native,Female
279,native,Male
280,native,Female
281,native,Male
282,native,Female
283,native,Male
284,native,Female
285,native,Male
286,native,Female
287,native,Female
288,native,Male
289,native,Female
290,native,Male
291,native,Female
292,native,Female
293,native,Female
